Aba	2/18/00	Riots/Protests	Rioters (Nigeria)	5.11667	7.36667	Reuters News	50
Aba	2/28/00	Battle-No change of territory	Hausa Ethnic Militia (Nigeria)	5.11667	7.36667	Reuters News	50
Aba	2/29/00	Battle-No change of territory	Muslim Militia (Nigeria)	5.11667	7.36667	Herald-Sun	20
Aba	5/23/00	Battle-No change of territory	MASSOB: Movement for the Actualization of a Sovereign State of Biafra	5.11667	7.36667	Reuters News	2
Aba	11/9/02	Violence against civilians	Unidentified Armed Group (Nigeria)	5.11667	7.36667	All Africa	1
Aba	11/27/02	Riots/Protests	Unidentified Armed Group (Nigeria)	5.11667	7.36667	All Africa	0
Aba	4/8/05	Violence against civilians	Bakassi Boys Militia (Nigeria)	5.11667	7.36667	Vanguard (Nigeria)	0
Aba	7/9/05	Riots/Protests	Protesters (Nigeria)	5.11667	7.36667	Reuters News	0
Aba	11/26/08	Battle-No change of territory	Unidentified Armed Group (Nigeria)	5.11667	7.36667	Vanguard (Nigeria)	3
Aba	6/21/09	Riots/Protests	Protesters (Nigeria)	5.11667	7.36667	Vanguard (Nigeria)	0
Aba	6/30/09	Battle-No change of territory	Police Forces of Nigeria (2007-)	5.11667	7.36667	Reuters News	0
Aba	9/29/09	Battle-No change of territory	Unidentified Armed Group (Nigeria)	5.11667	7.36667	BBC Monitoring Africa	10
Aba	3/9/10	Violence against civilians	Okada Motorcycle Militia (Nigeria)	5.11667	7.36667	All Africa	1
Aba	3/9/10	Battle-No change of territory	Okada Motorcycle Militia (Nigeria)	5.11667	7.36667	All Africa	1
Aba	1/12/10	Violence against civilians	Unidentified Armed Group (Nigeria)	5.11667	7.36667	Reuters	1
Aba	12/12/10	Battle-No change of territory	Military Forces of Nigeria-Joint Task Force (2007-)	5.11667	7.36667	Agence France Presse	1
Aba	29/12/2010	Violence against civilians	Unidentified Armed Group (Nigeria)	5.11667	7.36667	Agence France Presse	1
Aba	11/7/10	Violence against civilians	Unidentified Armed Group (Nigeria)	5.11667	7.36667	All Africa	0
Abagana	9/5/02	Violence against civilians	Unidentified Armed Group (Nigeria)	6.18333	6.98333	Africa News Service	4
Abagana	12/24/08	Battle-No change of territory	Unidentified Armed Group (Nigeria)	6.18333	6.98333	Vanguard (Nigeria)	5
Abaji	2/28/10	Battle-No change of territory	PDP: People's Democratic Party Militia (Nigeria)	8.46667	6.95	All Africa	0
Abaji	3/12/10	Riots/Protests	Rioters (Nigeria)	8.46667	6.95	All Africa	0
Abak	1/1/02	Riots/Protests	Rioters (Nigeria)	4.98333	7.78333	BBC Monitoring Africa	0
Abakaliki	8/24/01	Violence against civilians	Police Forces of Nigeria (1999-2007)	6.33333	8.1	Agence France Presse	1
Abakaliki	6/18/02	Riots/Protests	Rioters (Nigeria)	6.33333	8.1	All Africa	1
Abakaliki	8/2/02	Battle-No change of territory	PDP: People's Democratic Party Militia (Nigeria)	6.33333	8.1	Agence France Presse	10
Abakaliki	2/24/03	Battle-No change of territory	PDP: People's Democratic Party Militia (Nigeria)	6.33333	8.1	All Africa	0
Abakaliki	7/5/03	Battle-No change of territory	Inyimagu Ethnic Militia (Nigeria)	6.33333	8.1	Xinhua News Agency	20
Abakaliki	7/28/03	Violence against civilians	Unidentified Armed Group (Nigeria)	6.33333	8.1	This Day (Nigeria)	0
Abakaliki	4/8/04	Battle-No change of territory	Viking 22 Student Militia (Nigeria)	6.33333	8.1	Agence France Presse	5
Abakaliki	7/9/05	Riots/Protests	Protesters (Nigeria)	6.33333	8.1	All Africa	0
Abakaliki	11/2/06	Battle-No change of territory	Black Axe Student Militia (Nigeria)	6.3333	8.1	All Africa	2
Abakaliki	3/7/08	Battle-No change of territory	Ezza Ethnic Militia (Nigeria)	6.33333	8.1	All Africa	0
Abakaliki	9/9/08	Battle-No change of territory	Unidentified Armed Group (Nigeria)	6.33333	8.1	Vanguard (Nigeria)	1
